V,I_A
0.08,0.0
0.14,0.0
0.184,-0.0002
0.24,0.0002
0.3,-0.0002
0.36,-0.0002
0.408,0.0
0.468,0.0
0.524,0.0
0.588,0.0004
0.632,0.0
0.688,0.0002
0.748,0.0
0.808,0.0002
0.864,0.0
0.924,0.0002
0.98,0.0002
1.028,0.0002
1.084,-0.0002
1.144,0.0002
1.208,-0.0002
1.252,0.0002
1.312,-0.0002
1.372,-0.0002
1.428,0.0002
1.476,0.0
1.536,-0.0002
1.632,0.0002
1.68,0.0002
1.736,0.0
1.796,-0.0002
1.856,0.0
1.904,0.0
1.96,0.0
2.02,0.0
2.084,0.0
2.128,0.0
2.184,0.0
2.244,-0.0002
2.304,-0.0002
2.348,0.0
2.42,0.0002
2.476,0.0
2.524,0.0
2.58,0.0
2.64,0.0
2.7,0.0
2.752,0.0
2.808,0.0002
2.868,0.0004
2.868,0.0
2.808,0.0002
2.748,-0.0002
2.7,-0.0004
2.644,-0.0002
2.584,-0.0002
2.524,-0.0002
2.476,0.0002
2.42,-0.0004
2.348,0.0
2.3,-0.0002
2.244,-0.0002
2.188,0.0002
2.124,0.0002
2.08,0.0004
2.024,0.0
1.96,0.0002
1.904,0.0002
1.852,-0.0002
1.792,-0.0002
1.736,-0.0004
1.68,0.0
1.628,0.0002
1.536,-0.0002
1.476,0.0
1.432,0.0
1.372,0.0
1.312,-0.0002
1.256,0.0
1.208,0.0
1.148,0.0
1.088,0.0
1.028,0.0
0.98,0.0
0.924,-0.0002
0.864,-0.0002
0.808,-0.0002
0.748,-0.0002
0.692,0.0
0.632,0.0
0.584,-0.0004
0.524,-0.0002
0.468,0.0002
0.404,0.0
0.36,-0.0002
0.3,-0.0002
0.24,0.0002
0.184,0.0
0.136,0.0002
