V,I_A
0.0,1.9949102825532907e-05
0.0,0.0
0.0,1.8565411221433227e-05
0.1,2.394910282553291e-05
0.1,1.2259090684447218e-05
0.1,2.1565411221433225e-05
0.2,3.694910282553291e-05
0.2,2.625909068444722e-05
0.2,2.6565411221433225e-05
0.3,2.894910282553291e-05
0.3,5.259090684447219e-06
0.3,2.2565411221433223e-05
0.4,2.6949102825532908e-05
0.4,6.0259090684447216e-05
0.4,3.856541122143322e-05
0.5,4.99491028255329e-05
0.5,6.125909068444722e-05
0.5,7.856541122143323e-05
0.6,4.094910282553291e-05
0.6,6.725909068444722e-05
0.6,9.056541122143322e-05
0.7,5.494910282553291e-05
0.7,5.8259090684447215e-05
0.7,9.956541122143322e-05
0.8,9.494910282553292e-05
0.8,9.025909068444722e-05
0.8,0.0001115654112214
0.9,8.394910282553291e-05
0.9,8.225909068444722e-05
0.9,0.0001285654112214
1.0,0.0001079491028255
1.0,0.0001142590906844
1.0,0.0001395654112214
1.1,0.0001249491028255
1.1,6.525909068444722e-05
1.1,0.0001255654112214
1.2,0.0001269491028255
1.2,0.0001212590906844
1.2,0.0001005654112214
1.3,0.0001219491028255
1.3,9.82590906844472e-05
1.3,0.0001495654112214
1.4,9.59491028255329e-05
1.4,0.0001392590906844
1.4,0.0001495654112214
1.5,0.0001379491028255
1.5,0.0001692590906844
1.5,0.0002205654112214
1.6,0.0001599491028255
1.6,0.0001722590906844
1.6,0.0001875654112214
1.7,0.0001699491028255
1.7,0.0001562590906844
1.7,0.0002165654112214
1.8,0.0001899491028255
1.8,0.0001952590906844
1.8,0.0002095654112214
1.9,0.0001629491028255
1.9,0.0001872590906844
1.9,0.0002055654112214
2.0,0.0001959491028255
2.0,0.0001772590906844
2.0,0.0002595654112214
2.1,0.0002409491028255
2.1,0.0001982590906844
2.1,0.0002275654112214
2.2,0.0002079491028255
2.2,0.0002062590906844
2.2,0.0003125654112214
2.3,0.0002179491028255
2.3,0.0002922590906844
2.3,0.0001685654112214
2.4,0.0002259491028255
2.4,0.0002082590906844
2.4,0.0002915654112214
2.5,0.0002819491028255
2.5,0.0002172590906844
2.5,0.0002835654112214
2.6,0.0003079491028255
2.6,0.0002392590906844
2.6,0.0003285654112214
2.7,0.0003119491028255
2.7,0.0002662590906844
2.7,0.0002875654112214
2.8,0.0002819491028255
2.8,0.0001872590906844
2.8,0.0003705654112214
2.9,0.0002879491028255
2.9,0.0002782590906844
2.9,0.0003805654112214
3.0,0.0003119491028255
3.0,0.0003062590906844
3.0,0.0003755654112214
3.1,0.0003729491028255
3.1,0.0003042590906844
3.1,0.0003745654112214
3.2,0.0003079491028255
3.2,0.0003752590906844
3.2,0.0003565654112214
3.3,0.0002999491028255
3.3,0.0003102590906844
3.3,0.0003475654112214
